passenger_id,full_name,age,gender,nationality,marital_status,occupation,class,ticket_number,ticket_price,cabin_deck,embarkation_port,travel_purpose,journey_duration_days,siblings_spouses,parents_children,family_size,is_alone,family_survival_rate,boarding_position,lifeboat_access,medical_condition,mobility_score,emergency_response_time,evacuation_priority,wealth_index,age_group,fare_per_person,family_risk_score,survival_probability,survived
T2-000023,Jennifer Rodriguez,23.1,Male,India,Married,Student,3,191914,185.93,G,Southampton,Business,9,0,3,4,0,0.48,359,0.09,Mobility Impaired,45.6,10.6,Low,0.07,Adult,46.48,1.33,0.0642,0
T2-000024,Mary O'Connor,29.0,Female,USA,Married,Tourism,3,502022,109.75,Unknown,Southampton,Leisure,3,2,0,3,0,0.09,854,0.03,Mild Chronic,73.0,38.4,High,0.34,Adult,36.58,1.23,0.209,1
T2-000025,Yuki Müller,43.5,Female,Canada,Married,Healthcare,3,671135,203.91,G,Southampton,Leisure,8,0,0,1,1,0.32,25,0.16,Unknown,84.0,90.7,High,0.31,Middle_Aged,203.91,0.82,0.081,0
T2-000026,James Johnson,65.6,Female,UK,Widowed,Engineering,3,367812,136.86,F,Cherbourg,Family Visit,3,0,0,1,1,0.05,849,0.43,Unknown,68.7,51.9,High,-0.06,Senior,136.86,0.61,0.1618,1
T2-000027,Barbara Gonzalez,50.6,Male,Germany,Married,Military,2,213583,492.34,C,Southampton,Business,9,0,0,1,1,0.28,750,0.78,Unknown,78.6,12.9,Low,1.21,Middle_Aged,492.34,0.33,0.2421,0
T2-000028,Fatima Williams,84.3,Female,USA,Married,Healthcare,3,944605,213.84,G,Southampton,Business,11,1,0,2,0,0.62,350,0.0,Unknown,61.8,10.3,High,0.41,Senior,106.92,1.1,0.2544,0
T2-000029,Barbara Hernandez,45.7,Female,USA,Married,Engineering,1,182940,565.75,C,Southampton,Relocation,8,1,0,2,0,0.24,454,0.72,Unknown,80.4,9.5,High,1.94,Middle_Aged,282.88,0.52,0.5818,0
T2-000030,Wei Wilson,32.9,Female,France,Single,Tech,3,901432,131.19,G,Southampton,Business,7,1,1,3,0,0.38,115,0.15,Mild Chronic,75.9,30.3,High,0.34,Adult,43.73,1.13,0.2139,0
T2-000031,Elizabeth Anderson,11.3,Female,USA,Single,Student,3,926973,152.31,F,Cherbourg,Leisure,6,0,0,1,1,0.39,598,0.25,Unknown,88.3,23.6,High,0.04,Child,152.31,0.75,0.433,0
T2-000032,Jessica Jones,19.6,Male,Canada,Widowed,Laborer,3,351650,181.47,F,Southampton,Leisure,10,1,0,2,0,0.37,45,0.41,Unknown,88.2,53.3,Low,0.23,Adult,90.74,0.77,0.0723,0
T2-000033,Joseph Miller,31.9,Male,USA,Widowed,Tech,3,521313,232.63,E,Queenstown,Relocation,7,1,1,3,0,0.76,302,0.5,Unknown,89.9,46.2,Low,0.42,Adult,77.54,0.85,0.0949,0
T2-000034,Joseph Johnson,27.6,Male,UK,Married,Healthcare,2,537822,337.84,E,Queenstown,Leisure,7,1,0,2,0,0.07,991,0.26,Unknown,83.4,9.8,Low,0.7,Adult,168.92,0.89,0.1633,0
T2-000035,Sofia Garcia,52.0,Male,UK,Married,Unknown,2,249815,286.47,D,Southampton,Leisure,11,1,0,2,0,0.0,331,0.59,Unknown,81.2,54.1,Low,0.54,Middle_Aged,143.24,0.63,0.3445,0
T2-000036,Barbara Hernandez,33.4,Male,UK,Married,Student,3,769430,112.34,G,New York,Family Visit,13,0,1,2,0,0.52,72,0.22,Unknown,92.9,24.8,Low,0.25,Adult,56.17,0.92,0.1955,0
T2-000037,Lars Johnson,73.9,Male,China,Married,Healthcare,2,209529,591.37,D,Southampton,Business,12,1,0,2,0,0.32,943,0.59,Mobility Impaired,15.0,10.0,Low,1.02,Senior,295.68,0.63,0.2586,0
T2-000038,Mateo Gonzalez,34.7,Non-Binary,USA,Married,Business,1,185744,1838.17,D,Southampton,Business,5,0,0,1,1,0.08,407,0.44,Unknown,81.2,7.8,Medium,5.52,Adult,1838.17,0.6,0.1581,0
T2-000039,John Smith,14.7,Male,Canada,Single,Student,1,349103,1540.65,A,Southampton,Leisure,8,0,0,1,1,0.5,569,0.95,Unknown,91.5,30.0,Medium,4.85,Teen,1540.65,0.19,0.1513,0
T2-000040,Robert Williams,47.1,Female,Canada,Married,Unknown,3,861623,164.12,Unknown,Cherbourg,Leisure,4,2,0,3,0,0.27,905,0.12,Unknown,75.9,15.4,High,0.39,Middle_Aged,54.71,1.15,0.3018,0
T2-000041,Sofia Silva,11.9,Female,Canada,Single,Student,2,890969,492.74,C,Southampton,Leisure,6,1,0,2,0,0.45,112,0.7,Unknown,89.3,23.9,High,0.97,Child,246.37,0.54,0.4427,0
T2-000042,Michael Johnson,22.5,Male,Canada,Widowed,Engineering,3,135270,179.13,G,Southampton,Leisure,7,0,2,3,0,0.26,934,0.25,Unknown,85.3,4.2,Low,0.38,Adult,59.71,1.05,0.1626,0
T2-000043,Yuki Müller,21.6,Female,UK,Divorced,Tech,2,537866,671.2,E,Queenstown,Leisure,13,0,1,2,0,0.12,573,0.51,Unknown,95.8,14.2,High,1.43,Adult,335.6,0.69,0.6314,1
T2-000044,William Ivanov,29.1,Male,France,Single,Tech,3,298652,135.46,E,Cherbourg,Leisure,6,1,0,2,0,0.87,687,0.4,Mobility Impaired,27.5,9.5,Low,0.35,Adult,67.73,0.78,0.2254,1
T2-000045,Michael Rodriguez,61.9,Female,Canada,Widowed,Student,3,782140,137.86,F,Southampton,Business,12,2,1,4,0,0.58,860,0.31,Unknown,66.8,4.4,High,0.04,Senior,34.47,1.15,0.3258,0
T2-000046,Aarav Kim,38.4,Female,Australia,Widowed,Laborer,3,357420,128.32,E,Queenstown,Relocation,8,0,0,1,1,0.79,355,0.63,Asthma,62.5,14.4,High,0.4,Middle_Aged,128.32,0.45,0.2815,1
T2-000047,Patricia Ali,35.3,Male,Canada,Married,Business,2,982814,448.33,D,Southampton,Leisure,10,0,1,2,0,0.52,554,0.6,Unknown,89.9,5.8,Low,1.06,Middle_Aged,224.16,0.62,0.4985,1
T2-000048,Susan Smith,21.6,Male,India,Married,Engineering,3,547419,142.9,G,Southampton,Relocation,6,1,0,2,0,0.11,173,0.22,Unknown,83.9,6.1,Low,0.19,Adult,71.45,0.92,0.0653,0
T2-000049,Aarav Silva,29.6,Male,France,Married,Tourism,3,486764,211.09,E,Queenstown,Family Visit,3,2,0,3,0,0.81,917,0.53,Asthma,68.9,16.9,Low,0.4,Adult,70.36,0.83,0.321,0
T2-000050,William Wilson,19.7,Female,China,Married,Student,3,970016,162.4,F,Southampton,Family Visit,9,0,1,2,0,0.22,826,0.5,Mobility Impaired,40.0,16.8,High,0.16,Adult,81.2,0.7,0.4706,0
T2-000051,Yuki Wilson,53.3,Male,India,Married,Tech,3,688984,131.49,G,Southampton,Relocation,7,1,1,3,0,0.84,298,0.12,Unknown,73.8,39.7,Low,0.03,Middle_Aged,43.83,1.15,0.0207,0
T2-000052,Mary Kim,24.4,Female,UK,Single,Student,2,537514,360.51,D,Southampton,Leisure,10,0,0,1,1,0.53,298,0.59,Mild Chronic,70.7,24.3,High,0.76,Adult,360.51,0.48,0.3134,1
T2-000053,Mateo Gonzalez,17.0,Male,USA,Single,Student,2,400224,517.2,E,Southampton,Leisure,7,0,0,1,1,0.87,179,0.37,Unknown,97.1,49.1,Low,1.2,Teen,517.2,0.65,0.1727,0
T2-000054,Joseph Brown,17.0,Female,UK,Single,Student,2,103887,425.17,Unknown,Cherbourg,Business,7,0,0,1,1,0.0,460,0.5,Unknown,90.8,33.6,High,0.94,Teen,425.17,0.55,0.2424,1
T2-000055,Michael Kim,11.9,Male,India,Single,Student,3,333446,145.65,F,Southampton,Leisure,5,0,1,2,0,0.58,437,0.33,Unknown,99.8,9.9,High,0.51,Child,72.82,0.84,0.3903,1
T2-000056,Barbara Müller,66.7,Male,France,Married,Student,2,966986,363.44,E,Cherbourg,Leisure,9,0,0,1,1,0.67,735,0.54,Unknown,66.5,41.5,Low,0.71,Senior,363.44,0.52,0.1041,0
T2-000057,Linda O'Connor,32.7,Male,Australia,Single,Education,3,488996,143.25,F,Southampton,Leisure,3,1,1,3,0,0.06,97,0.16,Unknown,84.4,22.8,Low,0.04,Adult,47.75,1.12,0.05,0
T2-000058,Joseph Brown,42.2,Male,Canada,Married,Laborer,3,381290,119.8,G,Cherbourg,Leisure,11,0,2,3,0,0.64,415,0.13,Unknown,79.1,26.6,Low,0.18,Middle_Aged,39.93,1.15,0.0853,0
T2-000059,John Garcia,6.2,Female,UK,Single,Student,3,334445,153.84,F,Cherbourg,Leisure,7,1,0,2,0,0.22,206,0.32,Unknown,99.6,20.0,High,0.18,Child,76.92,0.84,0.2833,1
T2-000060,Susan Lopez,26.4,Male,UK,Married,Unknown,3,438074,139.74,E,Southampton,Leisure,10,0,1,2,0,0.03,724,0.52,Unknown,86.2,10.5,Low,0.08,Adult,69.87,0.68,0.0931,0
T2-000061,Wei Rodriguez,57.4,Female,Canada,Widowed,Tech,2,179482,451.89,C,Southampton,Leisure,8,1,1,3,0,0.76,204,0.9,Unknown,58.5,28.5,High,1.04,Middle_Aged,150.63,0.53,0.6367,0
T2-000062,Patricia Gonzalez,29.6,Female,Germany,Divorced,Education,3,723992,208.66,E,Southampton,Leisure,9,2,0,3,0,0.83,333,0.5,Unknown,81.4,7.2,High,-0.01,Adult,69.55,0.85,0.4487,0
T2-000063,Aarav O'Connor,29.6,Female,Japan,Single,Tech,3,940333,183.13,G,Cherbourg,Business,9,2,0,3,0,0.35,476,0.13,Unknown,85.6,15.7,High,-0.01,Adult,61.04,1.15,0.2156,0
T2-000064,Linda Wilson,60.3,Male,France,Single,Unknown,3,553256,204.25,F,Queenstown,Family Visit,5,0,0,1,1,0.82,464,0.25,Unknown,62.4,4.5,Low,0.29,Senior,204.25,0.75,0.0505,0
T2-000065,Patricia Anderson,41.6,Male,USA,Married,Student,2,173810,409.69,D,Southampton,Leisure,9,2,0,3,0,0.28,934,0.68,Unknown,77.7,24.6,Low,0.61,Middle_Aged,136.56,0.71,0.2861,0
T2-000066,Mary Wilson,35.2,Female,UK,Married,Military,2,962064,368.55,D,Southampton,Leisure,4,1,2,4,0,0.72,419,0.59,Unknown,78.0,77.8,High,0.69,Middle_Aged,92.14,0.93,0.0743,0
T2-000067,Jennifer Kim,69.1,Female,USA,Married,Unknown,3,353796,253.09,G,Southampton,Leisure,10,0,0,1,1,0.54,841,0.23,Asthma,49.5,17.2,High,0.32,Senior,253.09,0.77,0.1261,0
T2-000068,Fatima Johnson,85.0,Female,Germany,Married,Unknown,2,903885,488.57,D,New York,Business,6,0,0,1,1,0.67,622,0.83,Unknown,54.7,31.9,High,0.88,Senior,488.57,0.29,0.0483,0
T2-000069,Elizabeth Williams,30.8,Male,India,Single,Engineering,2,627241,308.06,E,Southampton,Relocation,8,1,1,3,0,0.87,164,0.47,Unknown,86.3,16.5,Low,0.99,Adult,102.69,0.87,0.2778,1
T2-000070,Patricia Kim,14.6,Female,USA,Single,Student,3,132072,86.6,F,Southampton,Leisure,5,0,0,1,1,0.34,707,0.32,Mobility Impaired,42.9,10.7,High,0.27,Teen,86.6,0.69,0.1087,0
T2-000071,Fatima Müller,28.2,Female,Japan,Married,Military,3,721272,86.88,Unknown,Queenstown,Leisure,8,0,0,1,1,0.56,446,0.18,Unknown,88.0,20.1,High,0.02,Adult,86.88,0.81,0.0982,0
T2-000072,Aarav Kim,43.5,Female,USA,Married,Laborer,3,133148,167.44,F,Cherbourg,Business,11,0,0,1,1,0.33,704,0.23,Unknown,73.2,37.2,High,0.2,Middle_Aged,167.44,0.77,0.0859,0
T2-000073,Barbara Anderson,39.6,Male,UK,Single,Tourism,2,646785,475.42,C,Cherbourg,Leisure,6,3,0,4,0,0.54,394,0.78,Mild Chronic,70.9,21.3,Low,1.04,Middle_Aged,118.86,0.78,0.4054,1
T2-000074,Mary Ivanov,16.8,Female,Canada,Single,Student,2,656737,398.16,D,Cherbourg,Business,11,2,1,4,0,0.21,658,0.53,Mild Chronic,91.8,13.6,High,0.63,Teen,99.54,0.98,0.4077,1
T2-000075,Elizabeth O'Connor,33.5,Male,USA,Married,Tourism,3,966690,125.76,F,Queenstown,Leisure,10,0,1,2,0,0.25,736,0.44,Unknown,90.5,6.6,Low,0.07,Adult,62.88,0.75,0.3857,1
T2-000076,Patricia Garcia,26.2,Male,India,Married,Business,3,346540,199.71,F,Southampton,Leisure,11,5,1,7,0,0.29,483,0.36,Unknown,88.2,19.8,Low,0.24,Adult,28.53,1.56,0.3091,0
T2-000077,Susan Brown,11.4,Male,Canada,Single,Student,3,721978,118.54,E,Cherbourg,Business,7,2,1,4,0,0.56,818,0.47,Unknown,86.6,10.5,High,0.41,Child,29.64,1.02,0.3485,0
T2-000078,Jessica Martinez,56.4,Female,Germany,Married,Education,1,199245,1395.3,D,Cherbourg,Leisure,4,2,0,3,0,0.04,127,0.64,Unknown,73.7,40.1,High,4.21,Middle_Aged,465.1,0.74,0.4149,0
T2-000079,Joseph Lopez,13.2,Female,USA,Single,Student,3,596888,145.31,E,Queenstown,Leisure,9,0,0,1,1,0.55,229,0.55,Unknown,98.6,12.4,High,0.32,Teen,145.31,0.51,0.6264,1
T2-000080,Linda Jones,43.8,Female,UK,Married,Business,2,803287,463.53,D,Queenstown,Business,3,0,0,1,1,0.28,285,0.48,Unknown,78.0,64.0,High,0.49,Middle_Aged,463.53,0.57,0.2503,0
T2-000081,Susan Silva,77.6,Male,China,Married,Engineering,2,691450,448.68,C,Southampton,Leisure,3,0,0,1,1,0.01,642,0.64,Unknown,69.3,30.7,Low,0.82,Senior,448.68,0.44,0.0536,0
T2-000082,Lars Jones,24.3,Male,USA,Married,Student,3,205015,115.82,F,Southampton,Relocation,3,0,1,2,0,0.02,732,0.26,Unknown,92.1,25.7,Low,0.03,Adult,57.91,0.89,0.115,0
T2-000083,Linda Chen,44.4,Female,Canada,Divorced,Laborer,3,654588,99.0,F,Cherbourg,Relocation,9,0,1,2,0,0.29,956,0.38,Unknown,79.5,6.8,High,-0.17,Middle_Aged,49.5,0.8,0.4332,0
T2-000084,Yuki Kim,37.8,Female,USA,Married,Education,3,893202,198.39,F,Southampton,Business,8,0,1,2,0,0.25,294,0.59,Unknown,73.2,1.3,High,0.23,Middle_Aged,99.2,0.63,0.3484,1
T2-000085,Jessica Anderson,48.5,Female,UK,Divorced,Healthcare,2,494555,515.57,D,Cherbourg,Leisure,7,1,1,3,0,0.26,42,0.51,Unknown,83.4,18.6,High,1.11,Middle_Aged,171.86,0.84,0.4742,1
T2-000086,Richard Davis,29.4,Female,China,Married,Healthcare,3,737877,155.81,E,Southampton,Relocation,8,1,2,4,0,0.11,932,0.35,Unknown,80.8,16.9,High,0.24,Adult,38.95,1.12,0.2806,1
T2-000087,Aarav Smith,57.2,Male,Germany,Divorced,Military,3,971154,189.84,F,Southampton,Business,10,1,0,2,0,0.28,922,0.36,Unknown,76.4,6.3,Low,0.35,Middle_Aged,94.92,0.81,0.2879,1
T2-000088,Joseph Rodriguez,12.4,Female,UK,Single,Student,2,158505,517.26,Unknown,Southampton,Family Visit,8,0,0,1,1,0.0,784,0.55,Mild Chronic,93.5,20.1,High,1.01,Teen,517.26,0.51,0.6108,0
T2-000089,Yuki Lopez,34.4,Male,China,Married,Military,2,969825,433.4,Unknown,Southampton,Leisure,4,0,0,1,1,0.29,504,0.3,Unknown,76.7,32.9,Low,0.63,Adult,433.4,0.71,0.1479,0
T2-000090,Elena Smith,40.1,Male,USA,Single,Tech,1,227763,1167.69,A,Southampton,Relocation,7,1,0,2,0,0.0,327,0.71,Cardiovascular,63.3,14.7,Medium,3.6,Middle_Aged,583.84,0.53,0.5727,0
T2-000091,Richard Jones,23.0,Female,Canada,Married,Unknown,3,544740,84.95,F,Cherbourg,Leisure,11,1,0,2,0,0.6,349,0.18,Unknown,85.5,4.3,High,-0.17,Adult,42.48,0.96,0.2217,0
T2-000092,William Rodriguez,49.3,Female,UK,Single,Student,3,889529,100.87,F,Southampton,Business,13,0,1,2,0,0.13,638,0.41,Unknown,80.7,88.2,High,-0.08,Middle_Aged,50.44,0.77,0.0996,0
T2-000093,Joseph Smith,34.6,Male,India,Married,Healthcare,2,392459,617.71,E,Southampton,Leisure,8,1,1,3,0,0.75,643,0.38,Unknown,84.3,26.1,Low,1.27,Adult,205.9,0.95,0.265,0
T2-000094,Richard Wilson,30.4,Male,Germany,Married,Engineering,3,725129,187.62,F,Queenstown,Business,3,2,1,4,0,0.02,752,0.41,Unknown,85.7,21.6,Low,-0.35,Adult,46.9,1.07,0.2305,0
T2-000095,James Patel,24.7,Male,France,Single,Tech,3,899352,176.86,E,Southampton,Family Visit,5,2,2,5,0,0.12,856,0.38,Unknown,90.4,18.2,Low,-0.06,Adult,35.37,1.25,0.0353,0
T2-000096,Michael Williams,45.5,Female,India,Married,Tech,2,713047,494.57,E,Southampton,Family Visit,12,0,0,1,1,0.67,988,0.53,Unknown,81.2,25.6,High,0.86,Middle_Aged,494.57,0.53,0.3419,1
T2-000097,William Chen,20.2,Female,Germany,Divorced,Tourism,3,567131,79.45,E,Southampton,Relocation,10,0,4,5,0,0.62,854,0.57,Unknown,81.2,56.4,High,-0.19,Adult,15.89,1.09,0.5041,1
T2-000098,Elena Davis,17.3,Male,Germany,Single,Student,3,416940,197.27,Unknown,Southampton,Leisure,6,1,1,3,0,0.54,80,0.27,Unknown,78.2,20.1,Low,0.37,Teen,65.76,1.03,0.0712,0
T2-000099,James Müller,8.5,Female,France,Single,Student,2,118763,317.38,E,Southampton,Business,9,2,0,3,0,0.26,237,0.31,Mobility Impaired,44.4,52.8,High,0.09,Child,105.79,1.0,0.4597,0
T2-000100,Barbara Anderson,34.4,Female,China,Married,Laborer,3,577603,182.69,F,Queenstown,Relocation,8,0,1,2,0,0.45,196,0.24,Unknown,85.9,38.1,High,0.34,Adult,91.34,0.91,0.2467,0
T2-000101,Linda Johnson,35.2,Male,Canada,Married,Tech,3,373337,145.47,F,Southampton,Leisure,3,0,2,3,0,0.17,732,0.14,Unknown,91.9,11.9,Low,0.1,Middle_Aged,48.49,1.14,0.1929,0
T2-000102,Elena Garcia,27.5,Female,China,Single,Unknown,3,640178,147.38,Unknown,Southampton,Leisure,5,0,0,1,1,0.09,251,0.33,Unknown,84.7,26.3,High,0.17,Adult,147.38,0.69,0.2438,0
T2-000103,David Martinez,56.8,Male,UK,Married,Student,3,945076,106.25,Unknown,Southampton,Leisure,5,1,0,2,0,0.09,983,0.21,Unknown,68.4,20.1,Low,0.07,Middle_Aged,53.12,0.93,0.1545,0
T2-000104,Sofia Sato,39.9,Female,USA,Married,Laborer,2,890663,592.64,Unknown,Southampton,Relocation,13,0,1,2,0,0.65,482,0.53,Unknown,83.8,3.7,High,1.46,Middle_Aged,296.32,0.68,0.3897,0
T2-000105,Wei Gonzalez,30.3,Female,China,Married,Engineering,3,688121,138.26,E,Southampton,Business,4,0,0,1,1,0.39,925,0.52,Unknown,79.9,23.2,High,0.16,Adult,138.26,0.53,0.5113,1
T2-000106,Linda Anderson,25.3,Male,France,Single,Education,3,489954,118.44,G,Southampton,Leisure,4,1,1,3,0,0.57,747,0.01,Unknown,92.9,20.5,Low,0.26,Adult,39.48,1.24,0.125,1
T2-000107,John Hernandez,21.7,Female,France,Married,Student,3,121258,134.02,Unknown,Cherbourg,Leisure,6,1,0,2,0,0.81,958,0.26,Unknown,89.9,10.4,High,0.32,Adult,67.01,0.89,0.4102,0
T2-000108,John Rodriguez,28.7,Female,USA,Divorced,Healthcare,3,150890,144.5,G,Southampton,Leisure,4,0,1,2,0,0.41,399,0.09,Mild Chronic,77.3,10.1,High,0.23,Adult,72.25,1.03,0.4169,0
T2-000109,James Wilson,52.1,Male,Germany,Married,Engineering,3,234447,104.52,E,New York,Leisure,3,0,1,2,0,0.84,626,0.37,Unknown,73.7,9.3,Low,0.02,Middle_Aged,52.26,0.8,0.5118,0
T2-000110,Robert Williams,73.0,Female,Australia,Married,Business,3,622381,114.27,E,Cherbourg,Leisure,10,2,1,4,0,0.05,465,0.22,Unknown,54.6,34.2,High,0.24,Senior,28.57,1.22,0.3431,0
T2-000111,Elizabeth Silva,31.8,Male,France,Single,Education,2,273897,449.19,E,New York,Relocation,7,1,0,2,0,0.69,84,0.52,Asthma,74.7,17.0,Low,0.97,Adult,224.6,0.68,0.3287,0
T2-000112,Michael Chen,5.8,Male,USA,Single,Student,1,859516,1360.13,A,Southampton,Leisure,10,0,0,1,1,0.35,404,0.97,Unknown,85.6,17.8,High,3.58,Child,1360.13,0.17,0.6408,1
T2-000113,William Davis,53.1,Male,Germany,Married,Education,3,311581,177.03,F,Southampton,Business,4,1,2,4,0,0.86,922,0.3,Unknown,72.0,42.0,Low,0.0,Middle_Aged,44.26,1.16,0.1521,0
T2-000114,Michael Hernandez,28.9,Male,Japan,Married,Engineering,3,358506,176.69,G,Southampton,Business,12,0,2,3,0,0.31,938,0.31,Mild Chronic,68.2,9.9,Low,0.23,Adult,58.9,1.0,0.0737,0
T2-000115,William Johnson,16.0,Female,UK,Single,Student,3,908748,124.72,Unknown,Queenstown,Business,4,0,1,2,0,0.08,705,0.56,Unknown,100.0,20.1,High,0.28,Teen,62.36,0.65,0.7713,1
T2-000116,Linda Jones,7.0,Male,Brazil,Single,Student,3,417716,116.32,Unknown,Southampton,Relocation,6,0,0,1,1,0.04,136,0.26,Unknown,90.0,7.8,High,-0.0,Child,116.32,0.74,0.0713,0
T2-000117,Barbara Lopez,33.7,Female,USA,Married,Military,1,213122,669.95,A,Queenstown,Leisure,7,0,1,2,0,0.13,357,0.89,Mobility Impaired,24.7,5.4,High,2.17,Adult,334.98,0.39,0.3807,1
T2-000118,Mary Rodriguez,24.7,Female,Brazil,Single,Healthcare,3,845060,129.17,F,Cherbourg,Leisure,6,0,0,1,1,0.18,23,0.29,Mild Chronic,81.2,9.1,High,0.39,Adult,129.17,0.72,0.3251,1
T2-000119,James Hernandez,34.7,Female,India,Married,Healthcare,2,654920,430.07,C,Southampton,Relocation,8,0,0,1,1,0.03,160,0.92,Unknown,77.8,34.6,High,0.67,Adult,430.07,0.21,0.3371,1
T2-000120,Jessica Chen,15.1,Female,Germany,Single,Student,3,179210,108.76,G,Southampton,Business,13,0,0,1,1,0.03,469,0.16,Mild Chronic,81.2,47.5,High,-0.73,Teen,108.76,0.82,0.1011,0
